domain,agents,epsilon,shock,seed,CCI,survival_rate,hazard,collapse_risk,preregistered,CCI_mean,CCI_ci_lo,CCI_ci_hi,cci_ci,survival_rate_mean,survival_rate_ci_lo,survival_rate_ci_hi,survival_ci
bio,800,0.0033,0.04,905,0.43531761534356445,0.7717025588756604,0.314203241518349,0.44323096092625075,True,0.4350242480050449,0.4347536096840601,0.4352549757759695,1,0.7717842902680424,0.771698329707726,0.7718639773997696,1
bio,800,0.0033,0.04,906,0.43445079192769664,0.7715209599097232,0.31355562031658163,0.43159123439051744,True,0.4350242480050449,0.4347536096840601,0.4352549757759695,1,0.7717842902680424,0.771698329707726,0.7718639773997696,1
bio,800,0.0033,0.06,901,0.4341485721980718,0.7704320338360405,0.3140406024451341,0.44226191247674335,True,0.43342424800504487,0.43315360968406,0.43365497577596945,1,0.7701442902680423,0.7700583297077259,0.7702239773997697,1
bio,800,0.0033,0.06,902,0.43274586293510436,0.7703163877061429,0.31513796741024064,0.4388666832673852,True,0.43342424800504487,0.43315360968406,0.43365497577596945,1,0.7701442902680423,0.7700583297077259,0.7702239773997697,1
bio,800,0.0033,0.06,903,0.43313912156741025,0.7701060582848434,0.3146898585357029,0.4340731842009594,True,0.43342424800504487,0.43315360968406,0.43365497577596945,1,0.7701442902680423,0.7700583297077259,0.7702239773997697,1
bio,800,0.0033,0.06,904,0.43394352405842185,0.7700677429958439,0.3157133155683808,0.4482244003505308,True,0.43342424800504487,0.43315360968406,0.43365497577596945,1,0.7701442902680423,0.7700583297077259,0.7702239773997697,1
bio,800,0.0033,0.06,905,0.4337176153435644,0.7700625588756604,0.315023241518349,0.4435469443682365,True,0.43342424800504487,0.43315360968406,0.43365497577596945,1,0.7701442902680423,0.7700583297077259,0.7702239773997697,1
bio,800,0.0033,0.06,906,0.43285079192769665,0.769880959909723,0.31437562031658167,0.4319124371658884,True,0.43342424800504487,0.43315360968406,0.43365497577596945,1,0.7701442902680423,0.7700583297077259,0.7702239773997697,1
bio,800,0.0036,0.02,901,0.44234857136473876,0.7757120335027072,0.3114006026118007,0.44123608162836897,True,0.4416242471717118,0.441353608850727,0.4418549749426363,1,0.7754242899347091,0.7753383293743926,0.7755039770664364,1
bio,800,0.0036,0.02,902,0.44094586210177134,0.7755963873728097,0.3124979675769073,0.43783986305827965,True,0.4416242471717118,0.441353608850727,0.4418549749426363,1,0.7754242899347091,0.7753383293743926,0.7755039770664364,1
bio,800,0.0036,0.02,903,0.4413391207340771,0.77538605795151,0.31204985870236956,0.4330390833528148,True,0.4416242471717118,0.441353608850727,0.4418549749426363,1,0.7754242899347091,0.7753383293743926,0.7755039770664364,1
bio,800,0.0036,0.02,904,0.4421435232250886,0.7753477426625106,0.31307331573504743,0.44721299723691993,True,0.4416242471717118,0.441353608850727,0.4418549749426363,1,0.7754242899347091,0.7753383293743926,0.7755039770664364,1
bio,800,0.0036,0.02,905,0.4419176145102312,0.7753425585423273,0.3123832416850157,0.4425261642578979,True,0.4416242471717118,0.441353608850727,0.4418549749426363,1,0.7754242899347091,0.7753383293743926,0.7755039770664364,1
bio,800,0.0036,0.02,906,0.44105079109436357,0.7751609595763899,0.3117356204832483,0.43087492943654887,True,0.4416242471717118,0.441353608850727,0.4418549749426363,1,0.7754242899347091,0.7753383293743926,0.7755039770664364,1
bio,800,0.0036,0.04,901,0.4407485713647388,0.7740720335027071,0.3122206026118008,0.4415557939738139,True,0.4400242471717118,0.43975360885072695,0.44025497494263627,1,0.773784289934709,0.7736983293743926,0.7738639770664364,1
bio,800,0.0036,0.04,902,0.43934586210177123,0.7739563873728097,0.3133179675769073,0.4381598673699635,True,0.4400242471717118,0.43975360885072695,0.44025497494263627,1,0.773784289934709,0.7736983293743926,0.7738639770664364,1
bio,800,0.0036,0.04,903,0.43973912073407717,0.77374605795151,0.31286985870236955,0.4333613402543311,True,0.4400242471717118,0.43975360885072695,0.44025497494263627,1,0.773784289934709,0.7736983293743926,0.7738639770664364,1
