time,step,detector_0,detector_1,detector_2,detector_3,detector_4,detector_5,detector_6,detector_7,detector_8,detector_9
1.6345063354312124e-08,770,1.1376457713220106e-13,-2.2424851040543082e-13,2.2460069275212573e-13,-6.863786354085746e-14,-2.111583965962421e-13,-6.774651816956013e-14,-1.0119138956787651e-09,-2.7731537132947606e-05,-0.6447428917749257,4.606766201693455e-08
1.6557336904368126e-08,780,7.943124335957432e-14,-5.995832253853466e-14,6.617254256554397e-14,-1.164151263636335e-13,-1.8139553721071086e-13,1.2102738514791072e-12,9.56067029058052e-10,-7.1647671320220984e-06,-0.5757984233998856,-7.080154494955854e-07
1.6769610454424126e-08,790,5.754945599134159e-15,5.747437479497906e-14,-8.872300516812212e-14,-8.304908119200752e-14,-3.2215593228923735e-14,-4.236435142992483e-13,-4.6626408666319e-10,-1.2998629876138347e-06,0.029964996357723744,-4.443140277668309e-05
1.6981884004480128e-08,800,9.277796741238565e-15,4.28959543837303e-14,-1.3652491919510861e-13,-2.488666972912477e-15,1.505971041209332e-13,2.676370228363529e-13,2.01762223972917e-10,2.0463781220878638e-07,-0.010446077947197272,-0.001773342711974604
1.719415755453613e-08,810,4.5739300280500916e-14,-1.617851782075454e-14,-6.987186497024426e-14,6.745044064654462e-14,2.822977959017843e-13,2.440280038634804e-13,-8.432293224128462e-11,1.6491353834004178e-07,0.001679721272358818,-0.035000790793290784
1.740643110459213e-08,820,-1.956733671390883e-15,1.3435040848931061e-14,1.576780380948735e-14,7.479876503949687e-14,3.1753194556907515e-13,-7.463115117079941e-14,3.2876589131043286e-11,-2.2788221986140625e-08,0.00047299274236876926,-0.3145696733507386
1.7618704654648133e-08,830,-1.1938726527011599e-13,1.3314522921824218e-13,1.0338141255453441e-14,3.790021636478769e-15,2.5432906111213174e-13,1.1366841315089128e-13,-9.406723475731489e-12,-1.3405104935613446e-08,7.812982363262754e-05,-1.1235794896168663
1.7830978204704135e-08,840,-1.451673696245575e-13,1.9453099979616758e-13,-1.0693967678237688e-13,-1.1202738264611883e-13,1.218135168236491e-13,3.4708692754618267e-13,-5.471239203955222e-13,7.393561234660035e-09,1.844606326885061e-05,-1.2091848224884558
1.8043251754760135e-08,850,9.623560170081318e-15,7.64528506170753e-14,-2.4078396122721913e-13,-2.0517946214518166e-13,-3.6345505277476206e-14,2.864299293384385e-13,3.1643490056516527e-12,-2.0638798695718238e-09,-1.6530825141671982e-06,-0.11643120664133425
1.8255525304816137e-08,860,2.027697654339027e-13,-1.53193953536444e-13,-2.633214957754214e-13,-2.1699112403389663e-13,-1.776345243063599e-13,7.94939445557269e-14,-2.491549417786626e-12,3.439201016549994e-10,-0.0003975054489532004,0.015694792207710646
1.846779885487214e-08,870,1.9875619822900947e-13,-2.8208631265732103e-13,-1.3099774028689637e-13,-1.3513652036667915e-13,-2.6794520388542096e-13,-4.6167232509675325e-14,5.835538071534776e-13,9.702435552575383e-12,-0.009572098984075227,0.000594796118631712
