run_id,domain,agents,epsilon,shock,seed,CCI,survival_rate,hazard,collapse_risk,preregistered,sha256_data,cci_ci_lo,cci_ci_hi,survival_ci_lo,survival_ci_hi,cci_ci,survival_ci
1673,cosmic,200,0.009,0.5,101,0.49077782716698176,0.7710399843704291,0.31547236194875317,0.4544888201754749,True,62e127d5c5fba27571b10fa73663bc28738044d1e29da88a52215b2670ee37ca,0.49239572285255295,0.4932673834474159,0.771888985188212,0.7724358111063585,1,1
1674,cosmic,200,0.009,0.5,102,0.49224413002775746,0.7709722413916177,0.31595515888435577,0.46650614881508046,True,e477c20db29af6250ef539383852b0e729e956590db74c485f96dcd6546705a2,0.49239572285255295,0.4932673834474159,0.771888985188212,0.7724358111063585,1,1
1675,cosmic,200,0.009,0.5,103,0.49235034776390685,0.7723740762263462,0.3142425282013138,0.45838653404785046,True,b609d1b05e30d1f572dd49eaa21023cfbf275bb89ca47e7457316c275b15fb9a,0.49239572285255295,0.4932673834474159,0.771888985188212,0.7724358111063585,1,1
1676,cosmic,200,0.009,0.5,104,0.4941943213170946,0.7725350517924614,0.3133204319582365,0.4602793394475262,True,5444878516c34f297174dcd879b7cdd8d9e724fb066eb3dfb1c6462b2385286f,0.49239572285255295,0.4932673834474159,0.771888985188212,0.7724358111063585,1,1
1677,cosmic,200,0.009,0.5,105,0.4924873160416193,0.7729534360918825,0.3114263424083012,0.46931458929322,True,b44d86c0ac4ae75fa07390394fe782e421b8415cef860e20e004693b8fb45667,0.49239572285255295,0.4932673834474159,0.771888985188212,0.7724358111063585,1,1
1678,cosmic,200,0.009,0.5,106,0.49443372545743236,0.772474208274165,0.3130755638946497,0.45593891084913046,True,0cbf7032d9ae6ada5ae3a77ec497812dbefb71756663c09884ae3c8c1eae6d0b,0.49239572285255295,0.4932673834474159,0.771888985188212,0.7724358111063585,1,1
1679,cosmic,200,0.009,0.5,107,0.4938972500343977,0.7728423600446213,0.3136282213227474,0.44951597414277844,True,0bdd4b4c1ead11747cf5a8a274abdf299e473ee4d62e8342f29ffc791b194d47,0.49239572285255295,0.4932673834474159,0.771888985188212,0.7724358111063585,1,1
1680,cosmic,200,0.009,0.5,108,0.4923991456875849,0.7720774744783416,0.31407238457566755,0.4477325985716153,True,b13a06415bd6d616bdd2189e25bc30954e76033102b86dc6d3a81171df18a4ff,0.49239572285255295,0.4932673834474159,0.771888985188212,0.7724358111063585,1,1
1681,cosmic,200,0.01,0.2,101,0.5314444910558711,0.8023066499259849,0.2998390291709753,0.4484050723670458,True,6d4ec33d0e8b0773399578ca12b1132f3118691685e2a56d1b5e628158408a05,0.5330623867414424,0.5339340473363052,0.8031556507437679,0.8037024766619144,1,1
1682,cosmic,200,0.01,0.2,102,0.5329107939166469,0.8022389069471734,0.30032182610657787,0.460573071803035,True,bfad804bf53b10fef71b10db74862a388ceb5f41ae17f486e5631e2b192fdced,0.5330623867414424,0.5339340473363052,0.8031556507437679,0.8037024766619144,1,1
1683,cosmic,200,0.01,0.2,103,0.5330170116527961,0.8036407417819019,0.298609195423536,0.4523209495047357,True,b51feeb361d944d8896dc0f0b386a33003ee0ab624115bb23ed7fc2284a9323d,0.5330623867414424,0.5339340473363052,0.8031556507437679,0.8037024766619144,1,1
1684,cosmic,200,0.01,0.2,104,0.534860985205984,0.8038017173480173,0.29768709918045866,0.45421728177591153,True,174592a51ef94e8b4021b8f868c6e42c8d9d5a2578103c36f13325227e520649,0.5330623867414424,0.5339340473363052,0.8031556507437679,0.8037024766619144,1,1
1685,cosmic,200,0.01,0.2,105,0.5331539799305087,0.8042201016474383,0.29579300963052335,0.4633302112517608,True,405c9a3c075b901824fb5457a0d880ea9c17994f8ba694d2bd6bf6a387f9d842,0.5330623867414424,0.5339340473363052,0.8031556507437679,0.8037024766619144,1,1
1686,cosmic,200,0.01,0.2,106,0.5351003893463216,0.8037408738297208,0.2974422311168718,0.4498227073886651,True,906f3671b668ee60d0c887be67a9b4521e57e29a4f027b578ec08d5504764635,0.5330623867414424,0.5339340473363052,0.8031556507437679,0.8037024766619144,1,1
1687,cosmic,200,0.01,0.2,107,0.5345639139232872,0.8041090256001772,0.2979948885449696,0.4433453132285455,True,50caba45c98e59a00418d9bf1597d301af4a40415b838e07c9ab76d298043e83,0.5330623867414424,0.5339340473363052,0.8031556507437679,0.8037024766619144,1,1
1688,cosmic,200,0.01,0.2,108,0.5330658095764743,0.8033441400338974,0.29843905179788965,0.4415542669745888,True,5141b7f611ff37ad891cc8098b13a6b43c6a40ec2445f1163bcf17abd980150d,0.5330623867414424,0.5339340473363052,0.8031556507437679,0.8037024766619144,1,1
1689,cosmic,200,0.01,0.3,101,0.5234444910558711,0.7941066499259848,0.30393902917097537,0.45003692783469035,True,0c07619cd3b124ced231b116131bae24528a25b01c5e1fc1bd954e96dc237ff1,0.5250623867414423,0.5259340473363052,0.7949556507437678,0.7955024766619144,1,1
1690,cosmic,200,0.01,0.3,102,0.5249107939166469,0.7940389069471734,0.3044218261065779,0.4621658863878545,True,3bcbcd3eb94ff4f29ade40bf6340a5035b05ee25adb31ce7b337bc91ba237c3f,0.5250623867414423,0.5259340473363052,0.7949556507437678,0.7955024766619144,1,1
1691,cosmic,200,0.01,0.3,103,0.5250170116527961,0.795440741781902,0.3027091954235359,0.45394855432387415,True,aeba8d83236895ac8d2214af8d827ca226d5d8250826632f53c8cec090d88b03,0.5250623867414423,0.5259340473363052,0.7949556507437678,0.7955024766619144,1,1
1692,cosmic,200,0.01,0.3,104,0.526860985205984,0.7956017173480172,0.30178709918045865,0.4558442830861725,True,ce04295771f0370948a800e7f45897fc14fcfd675b02adb09eb385c33196d0bd,0.5250623867414423,0.5259340473363052,0.7949556507437678,0.7955024766619144,1,1
1693,cosmic,200,0.01,0.3,105,0.5251539799305087,0.7960201016474382,0.29989300963052334,0.4649376935097426,True,e7120d40e68cb4ad33e55c1d7203e2b955ecca8143a1e1938fd5f674a58a8ed4,0.5250623867414423,0.5259340473363052,0.7949556507437678,0.7955024766619144,1,1
1694,cosmic,200,0.01,0.3,106,0.5271003893463216,0.7955408738297208,0.3015422311168718,0.4514637338861472,True,8ebc4bdda60609cae95014ca90b1002aaca9ee1d10b6c34ff5ffac1cfaafb4ec,0.5250623867414423,0.5259340473363052,0.7949556507437678,0.7955024766619144,1,1
1695,cosmic,200,0.01,0.3,107,0.5265639139232872,0.7959090256001772,0.3020948885449695,0.445000084126078,True,972ad0d87511bf3ccb810b14449746e166e19f06844aac6b7d44783650dcff9a,0.5250623867414423,0.5259340473363052,0.7949556507437678,0.7955024766619144,1,1
1696,cosmic,200,0.01,0.3,108,0.5250658095764743,0.7951441400338973,0.30253905179788965,0.44321082027173975,True,16529d661cf6475b7b9e3d79277ca9695928ace22702476a2b078f7c1adc16d5,0.5250623867414423,0.5259340473363052,0.7949556507437678,0.7955024766619144,1,1
1697,cosmic,200,0.01,0.5,101,0.5074444910558712,0.7777066499259848,0.31213902917097536,0.4532226449215608,True,716473d7a198741ea883eb0ef7a76ebd425fa982be110f9585543b4ce33b8009,0.5090623867414423,0.5099340473363052,0.7785556507437679,0.7791024766619142,1,1
1698,cosmic,200,0.01,0.5,102,0.5089107939166468,0.7776389069471735,0.3126218261065779,0.4652724846260848,True,eb2b51cdcedb9fa6052a1a907e726ff11519e0fcd186393f6a849775ff847387,0.5090623867414423,0.5099340473363052,0.7785556507437679,0.7791024766619142,1,1
