theta_a_deg,theta_b_deg,theta_diff_deg,correlation,correlation_std,n_trials
80.0,55.0,25.0,-0.8144409639294139,0.05638708059665007,100
80.0,60.0,20.0,-0.8946919673211602,0.05330821820258868,100
80.0,65.0,15.0,-0.9339973609669695,0.06016443176942399,100
80.0,70.0,10.0,-0.9639032656287287,0.061674108344575276,100
80.0,75.0,5.0,-0.9828762977791746,0.05991433365191847,100
80.0,80.0,0.0,-1.0007138538559828,0.06310125144558092,100
80.0,85.0,-5.0,-0.9955971236345404,0.05545900331236003,100
80.0,90.0,-10.0,-0.9664492685015899,0.0586490802818589,100
85.0,0.0,85.0,-0.016834755011563358,0.05897704343218087,100
85.0,5.0,80.0,-0.034381834734394455,0.05679144499234392,100
85.0,10.0,75.0,-0.0674721141114244,0.05648600712491113,100
85.0,15.0,70.0,-0.11795370706338743,0.059014634346890395,100
