condition_id,cosmic_regime,n_agents,epochs,openness,kE,kI,lam,eta,seed,stability_cci_mean,stability_hazard_mean,stability_cci_slope,R_mean,auh_1180_1220
60,future,180,1800,0.003,0.9,1.1,0.9,-0.009521653501561282,1,0.4093766535567022,0.12001667993863681,1.1937786536709565e-07,3.410998116638799,8.18604332141311
61,future,180,1800,0.003,1.0,0.9,0.7,-0.009521653501561282,1,0.40937949231198695,0.12000849613249827,7.879144161571551e-08,3.4112543032005482,8.156502478342189
62,future,180,1800,0.003,1.0,0.9,0.9,-0.009521653501561282,1,0.40937676437660747,0.12001667993863681,1.2166909657170863e-07,3.4109990401833556,8.18604332141311
63,future,180,1800,0.003,1.0,1.0,0.7,-0.009521653501561282,1,0.40937943477800226,0.12000849613249827,7.759632466699369e-08,3.4112538237292256,8.156502478342189
64,future,180,1800,0.003,1.0,1.0,0.9,-0.009521653501561282,1,0.4093767068426228,0.12001667993863681,1.2047397962232916e-07,3.410998560710476,8.18604332141311
65,future,180,1800,0.003,1.0,1.1,0.7,-0.009521653501561282,1,0.40937938139702074,0.12000849613249827,7.650032918241551e-08,3.41125337886713,8.156502478342189
66,future,180,1800,0.003,1.0,1.1,0.9,-0.009521653501561282,1,0.4093766534616412,0.12001667993863681,1.19377984137751e-07,3.4109981158467413,8.18604332141311
67,future,180,1800,0.003,1.1,0.9,0.7,-0.009521653501561282,1,0.4093794922326078,0.12000849613249827,7.879156674048239e-08,3.411254302539104,8.156502478342189
68,future,180,1800,0.003,1.1,0.9,0.9,-0.009521653501561282,1,0.40937676429722825,0.12001667993863681,1.2166922169614672e-07,3.41099903952196,8.18604332141311
69,future,180,1800,0.003,1.1,1.0,0.7,-0.009521653501561282,1,0.409379434698623,0.12000849613249827,7.759644979307585e-08,3.4112538230677805,8.156502478342189
70,future,180,1800,0.003,1.1,1.0,0.9,-0.009521653501561282,1,0.40937670676324356,0.12001667993863681,1.2047410474906899e-07,3.4109985600490793,8.18604332141311
71,future,180,1800,0.003,1.1,1.1,0.7,-0.009521653501561282,1,0.4093793813176414,0.12000849613249827,7.650045430586713e-08,3.411253378205685,8.156502478342189
72,future,180,1800,0.003,1.1,1.1,0.9,-0.009521653501561282,1,0.4093766533822619,0.12001667993863681,1.1937810926317554e-07,3.4109981151853446,8.18604332141311
73,future,180,1800,0.005,0.9,0.9,0.7,-0.0049012741893949005,1,0.40953564091902805,0.12001215835404218,8.339988891706876e-08,3.41245132275792,8.15600378306149
74,future,180,1800,0.005,0.9,0.9,0.9,-0.0049012741893949005,1,0.4095328585132367,0.12002050557141634,1.2625599568241934e-07,3.412190891790298,8.185532334475258
75,future,180,1800,0.005,0.9,1.0,0.7,-0.0049012741893949005,1,0.40953561137651107,0.12001215835404218,8.278360059038002e-08,3.412451076562976,8.15600378306149
76,future,180,1800,0.005,0.9,1.0,0.9,-0.0049012741893949005,1,0.40953282897071963,0.12002050557141634,1.256397073560594e-07,3.4121906455948077,8.185532334475258
77,future,180,1800,0.005,0.9,1.1,0.7,-0.0049012741893949005,1,0.40953558389148836,0.12001215835404218,8.22192997019457e-08,3.412450847514152,8.15600378306149
78,future,180,1800,0.005,0.9,1.1,0.9,-0.0049012741893949005,1,0.40953280148569693,0.12002050557141634,1.2507540646696745e-07,3.412190416545454,8.185532334475258
79,future,180,1800,0.005,1.0,0.9,0.7,-0.0049012741893949005,1,0.4095356408942997,0.12001215835404218,8.339991544229481e-08,3.412451322551873,8.15600378306149
80,future,180,1800,0.005,1.0,0.9,0.9,-0.0049012741893949005,1,0.4095328584885084,0.12002050557141634,1.262560222079742e-07,3.412190891584266,8.185532334475258
81,future,180,1800,0.005,1.0,1.0,0.7,-0.0049012741893949005,1,0.4095356113517828,0.12001215835404218,8.278362711461962e-08,3.4124510763569282,8.15600378306149
82,future,180,1800,0.005,1.0,1.0,0.9,-0.0049012741893949005,1,0.4095328289459914,0.12002050557141634,1.2563973388062783e-07,3.412190645388776,8.185532334475258
83,future,180,1800,0.005,1.0,1.1,0.7,-0.0049012741893949005,1,0.4095355838667601,0.12001215835404218,8.221932622552765e-08,3.4124508473081057,8.15600378306149
84,future,180,1800,0.005,1.0,1.1,0.9,-0.0049012741893949005,1,0.4095328014609687,0.12002050557141634,1.250754329921935e-07,3.4121904163394214,8.185532334475258
85,future,180,1800,0.005,1.1,0.9,0.7,-0.0049012741893949005,1,0.4095356408736583,0.12001215835404218,8.339994476577636e-08,3.412451322379879,8.15600378306149
86,future,180,1800,0.005,1.1,0.9,0.9,-0.0049012741893949005,1,0.409532858467867,0.12002050557141634,1.262560515307981e-07,3.4121908914122856,8.185532334475258
87,future,180,1800,0.005,1.1,1.0,0.7,-0.0049012741893949005,1,0.4095356113311414,0.12001215835404218,8.278365643908762e-08,3.4124510761849356,8.15600378306149
88,future,180,1800,0.005,1.1,1.0,0.9,-0.0049012741893949005,1,0.40953282892535,0.12002050557141634,1.2563976320378056e-07,3.4121906452167954,8.185532334475258
89,future,180,1800,0.005,1.1,1.1,0.7,-0.0049012741893949005,1,0.4095355838461187,0.12001215835404218,8.221935554999565e-08,3.4124508471361117,8.15600378306149
90,future,180,1800,0.005,1.1,1.1,0.9,-0.0049012741893949005,1,0.40953280144032733,0.12002050557141634,1.2507546231468858e-07,3.412190416167441,8.185532334475258
